,contents
0,打气！
1,1150w
2,加油加油
3,打气
4,加油！
5,真名和艺名哈哈哈哈
6,打气
7,你没犯错
8,可以反告他们侵犯你的名字恶意用你的名字牟利
9,打气打气打气，绝对的支持
10,会
11,有啊角角
12,加油加油
13,厉害厉害
14,死神的儿子你也敢动！！！嚣张啊
15,打气
16,这个视频看上瘾了
17,打气
18,愣着干嘛三连啊
19,打气
20,打气
21,打气
22,打气
23,打气
24,加油！
25,加油
26,必须支持
27,打气
28,打气！
29,哈哈哈哈哈哈哈哈哈哈哈哈哈
30,加油
31,打气
32,300万硬币。。。。
33,要嘚
34,1148W
35,刚才这里敬汉卿眼眶红了，有点难过
36,会会会会会会
37,会
38,打气
39,打气
40,会啊
41,现在是1148
42,打气
43,打气
44,1148了
45,哈哈哈哈哈哈
46,nb
47,会
48,1亿播放合影
49,直接三连
50,明白
51,加油
52,哈哈哈哈哈哈哈哈哈哈哈哈哈万万没想到哈哈啊哈哈
53,哈哈哈哈哈哈哈哈哈哈
54,刚才这里敬汉卿眼眶红了，有点难过
55,我的注意力在 衣服上的日敬斗金
56,打气
57,不去了
58,会会会
59,那天看的才几千播放量现在就一千万加了
60,会
61,打气
62,打气
63,会
64,李现加油
65,打气！
66,淦
67,那些刷脏话的什么意思？素质？
68,1
69,加油
70,会
71,一杯敬汉卿
72,打气
73,1997？？
74,打气
75,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
76,加油
77,@力元君
78,1148万
79,你好，我是徐大虾
80,1148.8万播放
81,1149.1w
82,加油
83,打气
84,加油
85,打气
86,1148w了
87,1149w
88,打气
89,加油
90,打气
91,助攻助攻
92,打气
93,godspeed也遭了?
94,会
95,1010w
96,1149w！！
97,打气
98,会
99,加油
100,443w粉 单作品1140w播放   可怕
101,大气
102,打气
103,会
104,会！
105,1149w
106,哈哈哈
107,加油！
108,会
109,打气！
110,1149！
111,打气
112,打气
113,肯定会
114,会会会！
115,1149.1w
116,打气
117,打气
118,加油
119,打气打气
120,哈哈哈
121,两个硬币送您表示支持。
122,打气
123,打气
124,打气
125,1149.1w了，合影合影
126,1149.1w  可怕
127,会
128,打气
129,打气
130,支持
131,盯
132,加油
133,好的
134,1149.5万了
135,打气
136,谁这么不要脸
137,大气
138,会
139,会啊！！必须的
140,打气
141,打气打气打气打气打气打气打气打气
142,阿斗也让侵权了
143,会
144,打气
145,1149.5
146,会
147,加油
148,打气
149,打气
150,会会会
151,打气
152,打气
153,加油
154,踢到铁了
155,打气
156,打气
157,打气
158,加油
159,打气
160,敬汉卿 女运营
161,加油加油加油加油
162,哈哈哈哈哈
163,1149w
164,打气
165,会
166,敲诈勒索要坐牢
167,打气
168,打气
169,硬刚！！！
170,打气
171,加油!等你下一期更新
172,过分
173,冲冲冲
174,好好好，打气打气
175,加油
176,666
177,会
178,打气
179,国内维权之路太漫长了
180,打气
181,你很出名
182,1150万了    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
183,打气
184,打气
185,哈哈哈哈哈哈哈哈哈哈哈哈
186,会
187,加油
188,会♂
189,打气打气
190,1149.1w
191,打气
192,打气打气打气 打气
193,打气
194,1149w
195,冲冲冲、
196,打气
197,打气
198,打气
199,1149.8
200,冲冲冲
201,打气
202,1149.8w
203,加油
204,打气
205,打气
206,好的
207,打气
208,打气
209,天啊
210,加油加油
211,打气
212,打气
213,会
214,打气
215,一千万了
216,让我昆仑集团来制裁他们！
217,打气
218,打气
219,会！
220,天啊
221,加油加油！
222,现在上热搜了
223,。
224,打气
225,ヾ(≧O≦)〃嗷~恭喜你发现镇店之宝
226,1150.1万
227,支持维权
228,加油，祝维权成功
229,打气
230,1150w
231,打气
232,打气
233,1150万合影
234,徐大SAO和翔哥得赶紧行动了
235,哈哈哈哈哈哈哈哈哈哈哈哈
236,会
237,加油
238,打气
239,打气
240,打气
241,会
242,人肉该公司
243,会，但是不要，因为你没错
244,没有弹幕？
245,打气
246,打气打气
247,h
248,加油
249,会!
250,改名敬汉卿2019哈哈
251,打气
252,一年后up主赢了  再去集体爆破
253,支持你，加油
254,会肯定会
255,1157w
256,打气
257,加油
258,1150W
259,1150.4
260,卿汉敬，哈哈哈啊哈哈
261,1150.1w合影
262,打气
263,307万硬币，多少钱喔
264,加油
265,干他丫的
266,会
267,1150W合影
268,打气
269,我也没想到这是你的真名23333333
270,改名字呀
271,会会会
272,打气
273,打气
274,已经点赞3连
275,打气
276,1150.4
277,合影
278,@敖厂长@老番茄
279,会会会
280,会会会
281,会
282,打气
283,打气
284,会
285,1150
286,嗯嗯好的
287,打气
288,打气
289,会会会
290,不能改！
291,1150.4万
292,会
293,打气
294,加油
295,大气
296,支持
297,会
298,姓名权是人身权利，不能被倒卖，这种抢注完商标后要求你付款的，请直接报警敲诈勒索，望周知，
299,加油，汉卿，这是必须滴
300,大气
301,哈哈哈哈哈哈哈哈哈哈哈
302,你真的很出名！
303,好好好
304,葱鸭
305,千万播放！
306,1150.4
307,他万万没想到我真叫卢本伟
308,打气
309,打气
310,支持
311,第一次发弹幕
312,会
313,貌似装b猿也是啊
314,打气打气
315,敬汉卿加油！
316,打气
317,打气
318,打气
319,打气
320,会
321,打气
322,打气
323,要用魔法对抗魔法
324,打气
325,三百万硬币了
326,打气
327,打气打气！！！
328,打气
329,打气
330,打气
331,合影
332,加油
333,淦
334,打气
335,点个赞，收个藏，再投个币
336,好的三连
337,三连太恐怖
338,加油加油
339,打气
340,打气
341,打气
342,打气
343,三连了老哥
344,打气
345,打气
346, 打气
347,打气
348,打气
349,"mo =,"
350,会
351,打气
352,加油
353,打气
354,1150万……涨粉50万……可怕的卿汉敬
355,打气
356,加油
357,一
358,加油
359,会的会的
360,不会
361,加油
362,300w硬币合影
363,打气
364,叫小李现
365,加油
366,顶了
367,视频有公司水军，不要上钩引战了
368,打气
369,打气
370,打气
371,打气
372,精彩！
373,你的名字
374,打气
375,打气打气
376,加油
377,噗噗噗~~~看不到我
378,用魔法对抗魔法
379,大气
380,打气
381,打气
382,精彩
383,弹幕护体
384,打气
385,打气打气
386,好多啊⋯⋯
387,大家好我是卿汉敬
388,哈哈哈别里科夫
389,打气！
390,打气
391,牛逼
392,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
393,会
394,加油
395,支持
396,加油啊
397,会会会会会会会会会会
398,会
399,你有什么错？？
400,大家好我是卿汉敬
401,1151w
402,emmmm
403,加油
404,会
405,？？！
406,坚持下去，加油
407,会
408,敬汉卿
409,如果资金方面不够的话  这条视频赚的钱拿去维权也没关系的  加油加油加油
410,哈哈哈哈抵力了
411,加油
412,打气加油！
413,一定会啊
414,打气
415,会！
416,加油
417,加油
418,直接三连
419,会
420,打气
421,冲
422,打气打气
423,哈哈哈哈哈哈哈哈
424,镇小破站之宝
425,大家好，我是老番茄
426,打气
427,1151
428,打气
429,会
430,1151.4
431,打气
432,会
433,打气
434,打气
435,一定去，不向恶势力低头
436,大气
437,加油！！
438,厉害了，小破站的力量
439,会
440,1151.8w
441,打气
442,打气
443,大气
444,打气
445,加油
446,镇小破站之宝
447,会，但是这是你的名字，我希望大家可以团结起来帮汉卿加油
448,加油！
449,看不到我
450,好的
451,打气
452,打气
453,会
454,加油(ง •̀_•́)ง
455,1200w
456,提前告知，会的
457,会
458,打气
459,打打气
460,会会会
461,支持你
462,哈哈哈哈嗝儿哈哈哈嗝
463,打气
464,好的
465,会
466,fafafafafafafa
467,邓紫棋
468,镇站之宝
469,会
470,ou
471,打气
472,1152.1w
473,打气打气
474,哈哈哈
475,加油加油
476,打气
477,卧槽！昨800万今天1000万！
478,打气
479,投十个币加油
480,打气
481,打气
482,我又来了！1152w!
483,镇站之宝
484,加油
485,1151.8w
486,会！
487,打气加油！
488,嗯
489,加油！
490,打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气
491,444.3w
492,加油
493,打气
494,感觉要2000万
495,1152.1万纪念
496,打气！
497,打气
498,会！
499,打气
500,三连了
501,打气
502,打气
503,打气
504,大家好我是卿汉敬
505,淦
506,打气！！
507,敬汉卿加油
508,打气
509,好惨
510,打气
511,打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气打气
512,打气
513,千万助攻
514,加油加油加油汉卿
515,打气加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
516,敬汉卿冲啊！
517,打气！
518,打气
519,打气
520,打气
521,加油加油哈哈哈哈哈
522,哈哈哈哈哈哈哈
523,打气！！！！
524,加油
525,打气加油加油加油加油加油加油加油加油加油加油
